CRN,Subject,Number,Title,Section,Type,Term,Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E,F,Average
30094,CS,100,Freshman Orientation,AL1,LEC,120138,"Pitt, Leonard B",0,222,0,5,16,0,5,4,0,2,1,0,9,1,3.7
35886,CS,101,Intro Computing: Engrg & Sci,AYA,LBD,120138,"Gambill, Thomas N",5,4,6,4,6,3,6,0,3,1,0,0,1,0,3.02
35889,CS,101,Intro Computing: Engrg & Sci,AYB,LBD,120138,"Gambill, Thomas N",2,5,2,4,0,4,3,1,5,2,1,4,3,0,2.31
35890,CS,101,Intro Computing: Engrg & Sci,AYC,LBD,120138,"Gambill, Thomas N",3,2,6,3,3,6,2,2,4,0,1,2,2,0,2.63
35893,CS,101,Intro Computing: Engrg & Sci,AYD,LBD,120138,"Gambill, Thomas N",5,6,3,5,7,5,1,3,2,1,1,0,0,0,3.08
61077,CS,101,Intro Computing: Engrg & Sci,AYE,LBD,120138,"Gambill, Thomas N",10,3,4,6,5,3,3,1,2,2,0,0,1,1,3.12
35915,CS,101,Intro Computing: Engrg & Sci,AYF,LBD,120138,"Gambill, Thomas N",6,1,2,5,2,5,1,6,1,2,3,0,3,0,2.51
35896,CS,101,Intro Computing: Engrg & Sci,AYG,LBD,120138,"Gambill, Thomas N",5,8,2,6,3,4,4,1,2,3,0,3,0,0,2.92
35899,CS,101,Intro Computing: Engrg & Sci,AYH,LBD,120138,"Gambill, Thomas N",4,4,3,1,3,4,3,4,2,2,2,0,3,1,2.54
35902,CS,101,Intro Computing: Engrg & Sci,AYI,LBD,120138,"Gambill, Thomas N",7,4,7,3,1,1,2,4,3,2,1,1,1,0,2.9
35907,CS,101,Intro Computing: Engrg & Sci,AYJ,LBD,120138,"Gambill, Thomas N",9,8,4,0,6,5,2,1,1,0,2,0,0,0,3.27
